Name,Lab,Experiment,Required,Individual,Unit,Type,Notes
Acetaminophen,2033,1,12.5,0.5,g,Reagent,
Aspirin,2033,1,12.5,0.5,g,Reagent,
Caffeine,2033,1,12.5,0.5,g,Reagent,
Ibuprofen,2033,1,12.5,0.5,g,Reagent,
Eluting Solvent,2033,1,125,5,mL,Solution,99:1 by volume solution of Ethyl Acetate and Acetic Acid
Thin Layer Chromatography Plates,2033,1,25,1,plate,Equipment,
Portable UV Light,2033,1,1,1,none,Equipment,
Anthracene,2033,2,5,0.2,g,Reagent,
Maleic Anhydride,2033,2,2.75,0.11,g,Reagent,
Xylene,2033,2,62.5,2.5,mL,Reagent,
Sulfuric Acid (conc.),2033,3,15,0.6,mL,Reagent,
Methyl Benzoate,2033,3,7.5,0.3,g,Reagent,
Ethanol,2033,4,75,3,mL,Reagent,
"1-chloro-2,4-dinitrobenzene",2033,4,5,0.2,g,Reagent,
Aniline,2033,4,5,0.2,mL,Reagent,
Benzoin,2033,5,25,1,g,Reagent,
Nitric Acid (conc.),2033,5,87.5,3.5,mL,Reagent,
Ethanol,2033,5,125,5,mL,Reagent,
Benzil,2033,6,12.5,0.5,g,Reagent,
Ethanol,2033,6,125,5,mL,Reagent,
Sodium Borohydride,2033,6,2.5,0.1,g,Reagent,
Vanillin,2033,7,7.6,0.304,g,Reagent,
Sodium Hydroxide 0.2M,2033,7,125,5,mL,Solution,To prepare: 8 grams of NaOH dissolved in 2 liters of water.
Acetic Anhydride,2033,7,40,1.6,mL,Reagent,
Ethanol,2033,7,125,5,mL,Reagent,
Aniline,2033,8,30,1.2,mL,Reagent,
Hydrochloric Acid (conc.),2033,8,30,1.2,mL,Reagent,
Sodium Acetate,2033,8,35.5,1.42,g,Reagent,
Acetic Anhydride,2033,8,42.5,1.7,mL,Reagent,
Sodium Hydroxide 0.2M,2033,9,62.5,2.5,mL,Solution,To prepare: 8 grams of NaOH dissolved in 2 liters of water.
Benzonitrile,2033,9,6.25,0.25,mL,Reagent,
Hydrochloric Acid (conc.),2033,9,50,2,mL,Reagent,
Sodium Hydroxide 3M,2033,10,5,0.2,g,Solution,To prepare: 120 grams of NaOH dissolved in 1 liter of water.
Benzaldehyde,2033,10,5.3,0.212,g,Reagent,
Acetone Ethanol Solution 3.7%,2033,10,42.5,1.7,mL,Solution,To prepare: 37 grams of  Acetone (approx. 50 mL) dissolved in 1 liter of ethanol.
Sulfanilic Acid Monohydrate,2033,11,6,0.24,g,Reagent,
Sodium Carbonate,2033,11,1.75,0.07,g,Reagent,
Sodium Nitrite,2033,11,5,0.2,g,Reagent,
Hydrochloric Acid (conc.),2033,11,6.25,0.25,mL,Reagent,
2-napthol,2033,11,4.5,0.18,g,Reagent,
Sodium Hydroxide 3M,2033,11,25,1,mL,Solution,To prepare: 120 grams of NaOH dissolved in 1 liter of water.
Sodium Chloride,2033,11,12.5,0.5,g,Reagent,
Acetanilide,2031,1,12.5,0.5,g,Reagent,
Benzoic Acid,2031,1,12.5,0.5,g,Reagent,
Benzophenone,2031,1,12.5,0.5,g,Reagent,
"3,5-Dinitrobenzene",2031,1,12.5,0.5,g,Reagent,
Maleic Anhydride,2031,1,12.5,0.5,g,Reagent,
Naphthalene,2031,1,12.5,0.5,g,Reagent,
4-nitrotoluene,2031,1,12.5,0.5,g,Reagent,
Salicylic Acid,2031,1,12.5,0.5,g,Reagent,
Urea,2031,1,12.5,0.5,g,Reagent,
Benzil,2031,2,50,2,g,Reagent,
Methanol,2031,2,500,20,mL,Reagent,
Salicylic Acid,2031,3,87.5,3.5,g,Reagent,
Acetic Anhydride,2031,3,87.5,3.5,mL,Reagent,
Sulfuric Acid (conc.),2031,3,25,1,mL,Reagent,
Ethanol,2031,3,125,5,mL,Reagent,
